"","lr_pair","ligand","receptor"
"1526","Pth_Pth2r","Pth","Pth2r"
"1527","Pth2_Pth2r","Pth2","Pth2r"
"1528","Cp_Slc40a1","Cp","Slc40a1"
"1529","Cd86_Cd28","Cd86","Cd28"
"1530","Icosl_Cd28","Icosl","Cd28"
"1531","Il18_Il18rap","Il18","Il18rap"
"1532","Il1b_Il1r1","Il1b","Il1r1"
"1533","Il1a_Il1r1","Il1a","Il1r1"
"1534","Il1rn_Il1r1","Il1rn","Il1r1"
"1535","Il1b_Il1r2","Il1b","Il1r2"
"1536","Il1a_Il1r2","Il1a","Il1r2"
"1537","Il1rn_Il1r2","Il1rn","Il1r2"
"1538","Nms_Nmur1","Nms","Nmur1"
"1539","Nmu_Nmur1","Nmu","Nmur1"
"1540","Efna5_Epha4","Efna5","Epha4"
"1541","Efna1_Epha4","Efna1","Epha4"
"1542","Efnb1_Epha4","Efnb1","Epha4"
"1543","Efna3_Epha4","Efna3","Epha4"
"1544","Efna4_Epha4","Efna4","Epha4"
"1545","Pdcd1lg2_Pdcd1","Pdcd1lg2","Pdcd1"
"1546","Cd14_Cd55","Cd14","Cd55"
"1547","Psap_Gpr37l1","Psap","Gpr37l1"
"1548","Avp_Avpr1b","Avp","Avpr1b"
"1549","Podxl2_Sell","Podxl2","Sell"
"1550","Selplg_Sell","Selplg","Sell"
"1551","Calm1_Sell","Calm1","Sell"
"1552","Cfh_Sell","Cfh","Sell"
"1553","Bsg_Sele","Bsg","Sele"
"1554","Selplg_Sele","Selplg","Sele"
"1555","Sema3a_Plxna2","Sema3a","Plxna2"
"1556","Spp1_Itga8","Spp1","Itga8"
"1557","Npnt_Itga8","Npnt","Itga8"
"1558","Tnc_Itga8","Tnc","Itga8"
"1559","Il15_Il2ra","Il15","Il2ra"
"1560","Il2_Il2ra","Il2","Il2ra"
"1561","Tdgf1_Acvr1c","Tdgf1","Acvr1c"
"1562","Inhba_Acvr1c","Inhba","Acvr1c"
"1563","Nodal_Acvr1c","Nodal","Acvr1c"
"1564","Inhbb_Acvr1c","Inhbb","Acvr1c"
"1565","Gdf3_Acvr1c","Gdf3","Acvr1c"
"1566","Dll4_Notch1","Dll4","Notch1"
"1567","Adam10_Notch1","Adam10","Notch1"
"1568","Cntn6_Notch1","Cntn6","Notch1"
"1569","Rbp3_Notch1","Rbp3","Notch1"
"1570","Dll3_Notch1","Dll3","Notch1"
"1571","Psen1_Notch1","Psen1","Notch1"
"1572","Ccn3_Notch1","Ccn3","Notch1"
"1573","Dlk2_Notch1","Dlk2","Notch1"
"1574","Dlk1_Notch1","Dlk1","Notch1"
"1575","Fgf2_Notch1","Fgf2","Notch1"
"1576","Jag1_Notch1","Jag1","Notch1"
"1577","Jag2_Notch1","Jag2","Notch1"
"1578","Reln_Notch1","Reln","Notch1"
"1579","Egfl7_Notch1","Egfl7","Notch1"
"1580","Adam17_Notch1","Adam17","Notch1"
"1581","Mfap2_Notch1","Mfap2","Notch1"
"1582","Mfap5_Notch1","Mfap5","Notch1"
"1583","Wnt5a_Notch1","Wnt5a","Notch1"
"1584","Cd40lg_Traf2","Cd40lg","Traf2"
"1585","Tnfsf9_Traf2","Tnfsf9","Traf2"
"1586","Tnc_Itgb6","Tnc","Itgb6"
"1587","Dspp_Itgb6","Dspp","Itgb6"
"1588","Adam17_Itgb6","Adam17","Itgb6"
"1589","Thbs1_Itgb6","Thbs1","Itgb6"
"1590","Il1f8_Il1f5","Il1f8","Il1f5"
"1591","Adam10_Itgav","Adam10","Itgav"
"1592","Vwf_Itgav","Vwf","Itgav"
"1593","Angptl3_Itgav","Angptl3","Itgav"
"1594","Cx3cl1_Itgav","Cx3cl1","Itgav"
"1595","Hmgb1_Itgav","Hmgb1","Itgav"
"1596","Fbn1_Itgav","Fbn1","Itgav"
"1597","Cxcl12_Itgav","Cxcl12","Itgav"
"1598","Icam1_Itgav","Icam1","Itgav"
"1599","Fgg_Itgav","Fgg","Itgav"
"1600","Adam15_Itgav","Adam15","Itgav"
"1601","Tnc_Itgav","Tnc","Itgav"
"1602","Fgf2_Itgav","Fgf2","Itgav"
"1603","L1cam_Itgav","L1cam","Itgav"
"1604","Ccn1_Itgav","Ccn1","Itgav"
"1605","Postn_Itgav","Postn","Itgav"
"1606","Spp1_Itgav","Spp1","Itgav"
"1607","Vegfa_Itgav","Vegfa","Itgav"
"1608","Igf1_Itgav","Igf1","Itgav"
"1609","Adam9_Itgav","Adam9","Itgav"
"1610","Dspp_Itgav","Dspp","Itgav"
"1611","Egfl7_Itgav","Egfl7","Itgav"
"1612","Thbs1_Itgav","Thbs1","Itgav"
"1613","Mfge8_Itgav","Mfge8","Itgav"
"1614","Angpt2_Itgav","Angpt2","Itgav"
"1615","Mmp2_Itgav","Mmp2","Itgav"
"1616","Adam9_Itga6","Adam9","Itga6"
"1617","Adam17_Itga6","Adam17","Itga6"
"1618","Agrn_Lrp4","Agrn","Lrp4"
"1619","Wnt7a_Lrp4","Wnt7a","Lrp4"
"1620","Gas6_Tyro3","Gas6","Tyro3"
"1621","a_Atrn","a","Atrn"
"1622","Pf4_Procr","Pf4","Procr"
"1623","Proc_Procr","Proc","Procr"
"1624","Nppb_Npr1","Nppb","Npr1"
"1625","Nppa_Npr1","Nppa","Npr1"
"1626","Vegfa_Npr1","Vegfa","Npr1"
"1627","Adam10_Il6ra","Adam10","Il6ra"
"1628","Cd14_Tlr2","Cd14","Tlr2"
"1629","Hmgb1_Tlr2","Hmgb1","Tlr2"
