src_gene,tgt_gene,score,rank,p_value
FGF23,MYLK2,5.550024367259276e-06,282,0.0
FGF23,ITGA11,5.442997094765176e-06,283,0.01
EBI3,IL3RA,5.293365000207607e-06,284,0.0
LAMC3,CD19,4.904027096894932e-06,285,0.0
VEGFA,IL1RAPL1,3.1434550174247703e-06,286,0.0
WNT11,ESR1,2.477585804280977e-06,287,0.0
IL12A,FZD9,2.305173677212325e-06,288,0.0
CCL20,IL1RL2,1.4972009017306106e-06,289,0.0
DLL1,FZD9,9.077834713598972e-07,290,0.0
MMP1,OPRD1,6.561196326622619e-07,291,0.0
LAMC3,NTRK1,5.25355253374732e-07,292,0.01
GNB3,GRM1,3.146490364483726e-07,293,0.01
GNB3,AXL,5.240842588476943e-10,294,0.01
FGF16,AXL,1.1225406831198996e-10,295,0.0
NRG4,AXL,9.721930562496722e-11,296,0.0
SEMA4B,PLXNC1,2.2580036856722556e-17,297,0.0
LAMA3,ITGA9,7.651021795130116e-18,298,0.01
SST,KCNQ1,1.3720146960186165e-18,299,0.0
